Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
sfp,0.0,0.1,10,0.2,-81266,-193226,-128317.66,21348.27760926021
sfp,0.0,0.1,10,0.3,-69351,-167720,-122940.32,25510.699982748334
sfp,0.0,0.1,10,0.4,-60172,-191016,-115864.78,31867.932177616152
sfp,0.0,0.1,10,0.5,-42688,-182966,-107390.88,31687.651325333634
sfp,0.0,0.1,10,0.6,-50119,-181025,-107976.22,26099.84823811535
sfp,0.0,0.1,10,0.7,-63335,-186702,-121772.08,29317.138864799872
sfp,0.0,0.1,10,0.8,-105865,-198800,-145184.06,21599.423164453787
sfp,0.0,0.1,10,0.9,-90694,-192809,-146433.92,20503.43907423875
sfp,0.0,0.1,10,1.0,-103524,-197938,-145955.92,22206.999081315582
sfp,0.0,0.1,11,0.0,-94946,-194126,-141295.12,21371.63320245807
sfp,0.0,0.1,11,0.1,-98420,-192911,-148848.1,22324.277203602032
sfp,0.0,0.1,11,0.2,-86636,-205564,-143541.38,25529.43680033794
sfp,0.0,0.1,11,0.3,-62972,-192236,-131484.86,27964.808597928495
sfp,0.0,0.1,11,0.4,-58519,-174797,-111831.82,28096.142427270497
sfp,0.0,0.1,11,0.5,-55016,-197168,-112906.66,33254.319269931395
sfp,0.0,0.1,11,0.6,-64958,-197294,-119051.5,31603.754592401434
sfp,0.0,0.1,11,0.7,-71849,-184076,-128699.28,24527.342397064895
sfp,0.0,0.1,11,0.8,-86103,-232204,-151820.5,26673.67564200896
sfp,0.0,0.1,11,0.9,-122317,-201369,-157497.98,19085.591215909877
sfp,0.0,0.1,11,1.0,-108053,-191877,-146623.58,20852.906905557236
sfp,0.0,0.1,12,0.0,-107855,-195173,-145900.06,17109.786413593112
sfp,0.0,0.1,12,0.1,-107186,-194985,-145745.22,20524.26453706312
sfp,0.0,0.1,12,0.2,-80099,-194125,-144222.22,22903.650799167455
sfp,0.0,0.1,12,0.3,-68064,-223844,-131592.24,30855.027765182844
sfp,0.0,0.1,12,0.4,-76406,-203486,-125060.16,27785.4946494147
sfp,0.0,0.1,12,0.5,-62800,-186646,-110507.76,30941.519191862706
sfp,0.0,0.1,12,0.6,-61091,-238099,-125399.7,34459.14500831501
sfp,0.0,0.1,12,0.7,-79196,-176231,-124353.92,25987.12236414374
sfp,0.0,0.1,12,0.8,-105953,-215972,-143981.96,27716.937534368433
sfp,0.0,0.1,12,0.9,-123063,-197299,-160295.7,17824.576999016765
sfp,0.0,0.1,12,1.0,-118810,-213994,-158244.22,23134.001105617113
sfp,0.0,0.1,13,0.0,-105328,-203625,-153903.38,20647.676247066483
sfp,0.0,0.1,13,0.1,-108102,-243960,-153970.32,25162.04434723548
sfp,0.0,0.1,13,0.2,-99084,-201861,-151889.08,22168.04237934069
sfp,0.0,0.1,13,0.3,-79236,-182594,-136311.1,25521.876408249438
sfp,0.0,0.1,13,0.4,-67510,-218723,-124123.28,33046.33877775082
sfp,0.0,0.1,13,0.5,-57256,-185863,-115181.04,31028.626451516593
sfp,0.0,0.1,13,0.6,-70071,-212623,-126074.32,34589.60164643091
sfp,0.0,0.1,13,0.7,-71788,-214491,-139269.3,32879.84248016417
sfp,0.0,0.1,13,0.8,-106402,-223009,-145351.32,26122.663563477065
sfp,0.0,0.1,13,0.9,-110584,-239129,-165914.14,26290.31679194483
sfp,0.0,0.1,13,1.0,-124478,-202149,-167439.8,19251.034373481845
sfp,0.0,0.1,14,0.0,-113097,-210554,-157597.64,18190.005365988596
sfp,0.0,0.1,14,0.1,-128927,-229229,-163083.54,23345.641853664933
sfp,0.0,0.1,14,0.2,-114232,-236772,-159301.92,23902.369121618936
sfp,0.0,0.1,14,0.3,-79697,-194650,-139017.98,29199.07319991999
sfp,0.0,0.1,14,0.4,-67586,-193600,-130044.06,33136.93364701898
sfp,0.0,0.1,14,0.5,-64776,-188318,-120687.58,30035.56114660468
sfp,0.0,0.1,14,0.6,-65048,-191911,-122365.14,37025.81260887257
sfp,0.0,0.1,14,0.7,-57757,-181323,-126444.84,27862.33964007286
sfp,0.0,0.1,14,0.8,-102484,-222281,-150026.92,26156.229784204024
sfp,0.0,0.1,14,0.9,-113918,-216189,-169082.66,19940.964900619907
sfp,0.0,0.1,14,1.0,-113959,-216818,-163326.5,21252.92149161078
sfp,0.0,0.1,15,0.0,-126329,-210131,-166085.38,21567.458983754168
sfp,0.0,0.1,15,0.1,-119566,-234419,-164724.96,24600.694933738298
sfp,0.0,0.1,15,0.2,-111448,-254700,-157907.36,24889.22662171203
sfp,0.0,0.1,15,0.3,-77841,-197633,-139653.24,29199.15906502257
sfp,0.0,0.1,15,0.4,-64027,-179759,-129918.24,30925.654021797476
sfp,0.0,0.1,15,0.5,-77228,-216387,-132505.02,41714.82633724526
sfp,0.0,0.1,15,0.6,-57193,-216697,-131651.06,37982.69791355328
sfp,0.0,0.1,15,0.7,-64844,-219146,-134781.5,37158.578546575765
sfp,0.0,0.1,15,0.8,-104630,-204938,-156220.44,24122.733991631638
sfp,0.0,0.1,15,0.9,-137784,-212266,-171109.8,18676.486742993835
sfp,0.0,0.1,15,1.0,-133318,-221980,-171498.16,23658.109406894106
sfp,0.0,0.1,16,0.0,-122697,-225531,-181448.48,25244.10619534058
sfp,0.0,0.1,16,0.1,-121137,-210668,-170012.76,20855.833262760843
sfp,0.0,0.1,16,0.2,-104081,-213173,-160501.5,22063.05768145254
sfp,0.0,0.1,16,0.3,-80891,-203464,-137549.68,28303.224764305134
sfp,0.0,0.1,16,0.4,-69956,-226469,-145649.92,38423.34306431921
sfp,0.0,0.1,16,0.5,-77619,-211097,-131489.38,30374.794444514857
sfp,0.0,0.1,16,0.6,-76504,-213589,-139790.56,36180.99742883419
sfp,0.0,0.1,16,0.7,-77979,-228232,-154479.64,34752.92789413137
sfp,0.0,0.1,16,0.8,-107878,-209417,-159656.72,25171.52178679027
sfp,0.0,0.1,16,0.9,-129229,-217283,-173728.52,21954.875406894134
sfp,0.0,0.1,16,1.0,-151854,-223321,-187008.52,19599.54434626541
sfp,0.0,0.2,2,0.0,-51060,-98579,-69959.54,11139.320706600101
sfp,0.0,0.2,2,0.1,-46402,-136586,-71019.54,18642.627837900134
sfp,0.0,0.2,2,0.2,-40276,-123141,-71180.72,16966.50860749386
sfp,0.0,0.2,2,0.3,-26965,-117668,-62835.94,18030.937122815852
sfp,0.0,0.2,2,0.4,-29561,-101213,-59045.52,16298.598090758655
sfp,0.0,0.2,2,0.5,-39917,-104896,-65525.28,14318.6758295534
sfp,0.0,0.2,2,0.6,-41614,-97847,-67438.76,12875.902961892873
sfp,0.0,0.2,2,0.7,-49410,-111117,-78127.44,14691.766693558648
sfp,0.0,0.2,2,0.8,-60483,-121919,-87790.92,13592.870036537688
sfp,0.0,0.2,2,0.9,-60800,-134714,-89874.74,16079.517509526948
sfp,0.0,0.2,2,1.0,-62901,-118187,-84736.38,11661.34826609965
sfp,0.0,0.2,3,0.0,-57679,-108581,-80562.12,13175.681903338407
sfp,0.0,0.2,3,0.1,-51181,-148545,-82668.34,19405.142520192414
sfp,0.0,0.2,3,0.2,-50748,-122232,-89667.48,16646.043674392902
