Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
ksp,0.0,0.1,7,0.4,119,75,96.04,11.353251804245875
ksp,0.0,0.1,7,0.5,109,61,89.3,12.766745705870676
ksp,0.0,0.1,7,0.6,102,-2,82.8,16.378183597676017
ksp,0.0,0.1,7,0.7,117,-6,79.76,22.27615179458764
ksp,0.0,0.1,7,0.8,111,-7,82.76,21.259869256802276
ksp,0.0,0.1,7,0.9,113,-21,75.42,31.448104319753877
ksp,0.0,0.1,7,1.0,104,-7,73.86,25.76820537335236
ksp,0.0,0.1,8,0.0,121,68,99.68,12.644979644273123
ksp,0.0,0.1,8,0.1,117,66,96.36,12.891636269856736
ksp,0.0,0.1,8,0.2,119,52,96.76,13.18248683608952
ksp,0.0,0.1,8,0.3,123,65,98.2,12.452358189909088
ksp,0.0,0.1,8,0.4,119,65,96.24,12.30324330891523
ksp,0.0,0.1,8,0.5,120,-4,90.5,18.751054392122235
ksp,0.0,0.1,8,0.6,109,-12,77.86,24.310080213771407
ksp,0.0,0.1,8,0.7,105,-9,73.22,26.567810813625037
ksp,0.0,0.1,8,0.8,113,-2,80.26,20.026319416901227
ksp,0.0,0.1,8,0.9,115,-4,76.48,26.896050844323003
ksp,0.0,0.1,8,1.0,109,-12,76.96,27.867734250292003
ksp,0.0,0.1,9,0.0,119,68,96.36,11.21726075187299
ksp,0.0,0.1,9,0.1,116,65,93.64,11.61062145676298
ksp,0.0,0.1,9,0.2,118,67,95.62,11.439084450305648
ksp,0.0,0.1,9,0.3,116,72,94.46,10.817993325558891
ksp,0.0,0.1,9,0.4,119,69,95,11.663653643971541
ksp,0.0,0.1,9,0.5,111,-7,83.66,23.138103568242016
ksp,0.0,0.1,9,0.6,111,-7,82.78,21.947330273234805
ksp,0.0,0.1,9,0.7,107,-13,73.42,31.096354534030553
ksp,0.0,0.1,9,0.8,107,52,79.1,14.246016270938227
ksp,0.0,0.1,9,0.9,110,-10,76.72,26.407358281898844
ksp,0.0,0.1,9,1.0,108,-11,80.2,24.796313089996723
