Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
Knapsack,0.5,Tournament,OnePoint,SinglePoint,DeterministCrowding,149,68,110.22666666666667,14.385183746059765
Knapsack,0.6,Tournament,OnePoint,SinglePoint,DeterministCrowding,149,68,109.42,14.53920357617537
Knapsack,0.7,Tournament,OnePoint,SinglePoint,DeterministCrowding,149,65,108.25375,14.84376241189126
Knapsack,0.8,Tournament,OnePoint,SinglePoint,DeterministCrowding,149,65,107.37222222222222,14.873822498727204
Knapsack,0.9,Tournament,OnePoint,SinglePoint,DeterministCrowding,149,62,106.152,15.232298543519915
Knapsack,1.0,Tournament,OnePoint,SinglePoint,DeterministCrowding,149,-173,84.43909090909091,70.38428845308613
Knapsack,0.0,Tournament,OnePoint,SinglePoint,RestrictedTournament,154,72,112.81,14.169033670350112
Knapsack,0.1,Tournament,OnePoint,SinglePoint,RestrictedTournament,154,63,114.57,16.03498373923678
Knapsack,0.2,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,115.44,15.612352540199215
Knapsack,0.3,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,115.2275,15.307728771779827
Knapsack,0.4,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,115.612,15.303524159598233
Knapsack,0.5,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,115.83666666666667,15.118010648411982
Knapsack,0.6,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,115.76142857142857,14.85827941580175
Knapsack,0.7,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,115.32625,14.999201011261242
Knapsack,0.8,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,114.90222222222222,14.8618927840703
Knapsack,0.9,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,63,114.903,14.875916236786354
Knapsack,1.0,Tournament,OnePoint,SinglePoint,RestrictedTournament,164,-169,92.48454545454545,72.49568238703152
Knapsack,0.0,Tournament,TwoPoint,SinglePoint,Random,154,80,122.63,14.470907771013252
Knapsack,0.1,Tournament,TwoPoint,SinglePoint,Random,167,80,126.39,15.061278516539153
Knapsack,0.2,Tournament,TwoPoint,SinglePoint,Random,167,80,125.51,15.318794061707884
Knapsack,0.3,Tournament,TwoPoint,SinglePoint,Random,167,80,125.2625,15.301107917689226
Knapsack,0.4,Tournament,TwoPoint,SinglePoint,Random,169,80,127.676,15.994081570711748
Knapsack,0.5,Tournament,TwoPoint,SinglePoint,Random,175,80,129.405,16.227544392020366
Knapsack,0.6,Tournament,TwoPoint,SinglePoint,Random,175,80,128.99571428571429,16.178678065669807
Knapsack,0.7,Tournament,TwoPoint,SinglePoint,Random,175,80,127.95625,16.42510474913402
Knapsack,0.8,Tournament,TwoPoint,SinglePoint,Random,175,80,126.88777777777777,16.54117004668684
Knapsack,0.9,Tournament,TwoPoint,SinglePoint,Random,175,-11,124.265,20.337413438915615
Knapsack,1.0,Tournament,TwoPoint,SinglePoint,Random,175,-166,101.2090909090909,75.69893861630452
Knapsack,0.0,Tournament,TwoPoint,SinglePoint,Elitism,175,86,122.06,15.106236587528471
Knapsack,0.1,Tournament,TwoPoint,SinglePoint,Elitism,175,86,123.79,15.811257995396348
Knapsack,0.2,Tournament,TwoPoint,SinglePoint,Elitism,175,86,123.60666666666667,14.95451147984754
Knapsack,0.3,Tournament,TwoPoint,SinglePoint,Elitism,175,86,122.52,14.90688223085604
Knapsack,0.4,Tournament,TwoPoint,SinglePoint,Elitism,175,86,125.186,16.040636147485923
Knapsack,0.5,Tournament,TwoPoint,SinglePoint,Elitism,175,86,125.50333333333333,15.68875022731407
Knapsack,0.6,Tournament,TwoPoint,SinglePoint,Elitism,175,85,124.34285714285714,15.731369492278654
